CueType,Accuracy
-$5,20
$0,20
+$5,80
-$5,50
+$5,50
$0,50
+$5,80
-$5,50
-$5,20
+$5,20
$0,50
+$5,20
-$5,20
$0,50
-$5,80
-$5,80
$0,20
-$5,50
$0,20
-$5,80
$0,20
-$5,20
-$5,50
+$5,20
+$5,50
$0,80
+$5,50
-$5,80
+$5,20
$0,50
+$5,80
$0,50
+$5,20
+$5,50
$0,80
-$5,20
-$5,80
$0,20
-$5,80
$0,20
+$5,50
$0,50
+$5,80
-$5,50
-$5,50
$0,80
+$5,50
+$5,20
$0,80
+$5,20
+$5,80
$0,80
-$5,50
-$5,20
$0,80
$0,50
+$5,80
-$5,80
-$5,20
+$5,50
$0,20
+$5,80
$0,80
