high.thisTrialN,high.stepSize,high.intensity,medium.thisTrialN,medium.stepSize,medium.intensity,low.thisTrialN,low.stepSize,low.intensity,time.onset,time.trial,true_trialN,TR,trialtype,cue,jitter,low.response,hit,target_ms,rewardType,total_earned,time.end.global,time.end.nominal,time.trial.total,medium.response,rt,high.response,Subject ID,fMRI? (yes/no),Task number (1/2/practice),Show instructions? (yes/no),date,expName,frameRate,
-1,4,None,-1,4,None,0,4,8.1,12.006650208000792,0.012199666998640168,1,1,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.006650208000792,2.012746791995596,1,2,6,-$5 (20% accuracy),0.046268224789461625,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.006650208000792,4.002744957993855,1,3,6,-$5 (20% accuracy),,0,0,0.265,-$5,-5,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.006650208000792,6.020719082996948,1,4,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.006650208000792,8.002720207994571,1,5,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.006650208000792,9.988211916999717,1,6,6,-$5 (20% accuracy),,,,,,,23.993051249999553,24.00370145800116,11.974847500001488,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99363091599662,0.007955291999678593,2,1,2,+$5 (50% accuracy),,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99363091599662,1.9963567919985508,2,2,2,+$5 (50% accuracy),0.007686741996205799,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99363091599662,3.9924537089973455,2,3,2,+$5 (50% accuracy),,,1,0.265,+$5,0,,,,1,0.247425249996013,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99363091599662,5.9980362499991315,2,4,2,+$5 (50% accuracy),,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99363091599662,7.988837958997465,2,5,2,+$5 (50% accuracy),,,,,,,34.00098462499591,34.00370145800116,9.999798500000907,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
0,4,8.1,0,4,8.1,0,4,8.1,34.00158108300093,0.0050385419963276945,3,1,7,$0 (80% accuracy),,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
0,4,8.1,0,4,8.1,0,4,8.1,34.00158108300093,1.9974754999930155,3,2,7,$0 (80% accuracy),0.03649996517637001,,,,,,,,,,,,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
0,4,8.1,0,4,8.1,0,4,8.1,34.00158108300093,3.985853207996115,3,3,7,$0 (80% accuracy),,,0,0.265,$0,0,,,,,,0,XXX999,no,practice,no,2023-06-30_11h09.12.559,MID,None,
